,0,나이,성별
925,4minute,30,0
926,티맥스,43,0
927,Ann One,44,1
928,"임슬옹, Kei (케이)",30,1
929,명카드라이브,30,0
930,미도와 파라솔,30,1
931,전미도,40,1
932,"솔라 (마마무), 케이시 (Kassy)",30,0
933,마리탱,29,1
934,경서예지,20,1
935,"MC몽, 김재환",30,0
936,윤현상,30,1
937,"성시경, 아이유",30,0
938,"HIGH4 (하이포), 아이유",30,0
939,츄(Chuu),20,0
940,Young K (DAY6),20,1
941,WOODZ,26,1
942,ENHYPEN,21,1
943,Stray Kids (스트레이 키즈),20,1
944,원위 (ONEWE),20,1
945,태민 (TAEMIN),20,1
946,이달의 소녀,20,0
947,"Shawn Mendes, Justin Bieber",20,1
948,디핵 (D-Hack),20,0
949,몬스타엑스,30,1
950,"Alan Walker, Sabrina Carpenter, Farruko",30,1
951,"Alle Farben, Rhodes",38,0
952,Troye Sivan,20,0
953,온앤오프 (ONF),20,1
954,Loote,20,1
955,스카이,40,1
956,Mitch James,28,0
957,VICTON (빅톤),28,0
958,CIX (씨아이엑스),25,0
959,라붐 (LABOUM),30,0
960,유선호,21,1
961,"스윙스, BILL STAX (빌스택스), C JAMM",30,0
962,김동욱,47,1
963,넬 (NELL),30,1
964,강산에,50,1
965,키네틱 플로우,30,0
966,꽃별,50,1
967,"blackbear, FRND",30,1
968,김진표,40,1
969,아이오아이 (I.O.I),20,0
970,"윤종신, 성시경",30,1
971,이승기,30,1
972,인순이,50,0
973,"Jvcki Wai, 양홍원, Osshun Gum, 한요한",30,0
974,샤프,50,0
975,더 클래식,30,0
976,주걸륜,44,0
977,T-Pain,38,0
978,sogumm,29,1
979,오반,20,0
980,"염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉",20,0
981,Lupe Fiasco,41,0
982,Kanye West,20,0
983,Kacey Musgraves,34,1
984,H.E.R.,26,1
985,"칸 (유나킴, 전민주)",28,1
986,제니 (JENNIE),20,1
987,"박재범, 사이먼 도미닉, 로꼬, GRAY (그레이)",20,1
988,"나플라 (nafla), 루피 (Loopy)",30,1
989,H1-KEY (하이키),20,1
990,Meghan Trainor,30,0
991,Dr. Dre,58,0
992,짙은,20,1
993,장기하,40,0
994,미쓰에이,30,0
995,손담비,30,0
996,"디셈버, 제이세라",30,0
997,Peder Elias,26,0
998,Hans Zimmer,65,0
999,송골매,50,0
1000,박진영,50,1
1001,"Calvin Harris, Dua Lipa",20,0
1002,Lizzo,35,1
1003,UMI,24,1
1004,Surf Mesa,23,0
1005,BENEE,23,1
1006,"Dua Lipa, 화사 (Hwa Sa)",23,1
1007,가을방학,30,1
1008,Tyga,33,0
1009,Beyonce,30,1
1010,임정희,42,1
1011,하림,47,0
1012,Michael Jackson,50,0
1013,몽구스,30,0
1014,마골피,37,1
1015,Luis Fonsi,45,0
1016,이상은 (=Lee-tzsche),53,1
1017,처진 달팽이 (유재석 & 이적),50,0
1018,영인스님,50,1
1019,B.o.B,34,0
1020,Glen Hansard & Marketa Irglova,50,1
1021,블락비 바스타즈,30,1
1022,유미,45,1
1023,John Legend,44,0
1024,4 Non Blondes,40,1
1025,선우정아,30,1
1026,John Mayer,45,0
1027,Eric Clapton,78,0
1028,조관우,57,0
1029,"다비치, 티아라",30,0
1030,부활,45,0
1031,Teresa Teng,50,0
1032,GOT the beat,20,0
1033,원슈타인,20,1
1034,"개코, 아우릴고트 (OUREALGOAT), SINCE, 안병웅, Tabber, 조광일",30,1
1035,"릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)",30,0
1036,Khundi Panda,30,0
1037,"김태리, 남주혁, 보나(우주소녀), 최현욱, 이주명",30,0
1038,스윙스,30,0
1039,"앤씨아, HYNN (박혜원)",20,0
1040,형용돈죵 (정형돈 & G-DRAGON),30,1
1041,"전소란과 유재석 (유재석, 전소민, 소란)",40,1
1042,형돈이와 대준이,30,0
1043,"매드클라운, #Gun",30,0
1044,"매드클라운, 도넛맨 (Donutman), 보이비, #Gun",30,0
1045,GD X TAEYANG,30,1
1046,정엽,40,1
1047,"권순일 (어반자카파), 박용인 (어반자카파)",30,1
1048,임영웅,50,1
1049,"Homme (창민, 이현)",30,1
1050,"장혜진, 윤민수(바이브)",30,1
1051,마인드유,30,1
1052,"권진아, 샘김 (Sam Kim)",30,1
1053,샘김 (Sam Kim),30,1
1054,NO:EL,30,0
1055,프롬,37,1
1056,태일 (블락비),30,1
1057,모트 (Motte),27,1
1058,Keren Ann,49,1
1059,Mahalia,25,1
1060,Electric Light Orchestra,70,0
1061,약속,44,0
1062,Lil Nas X,20,0
1063,"Marshmello, Halsey",20,1
1064,Powfu,24,0
1065,Michael Carreon,20,1
1066,"챈슬러, 베이빌론 (Babylon), 트웰브 (twlv), 문수진 (Moon Sujin), 비비 (BIBI), 지셀 (Jiselle)",20,1
1067,Conan Gray,20,1
1068,070 Shake,26,1
1069,"Snoop Dogg, Wiz Khalifa",30,0
1070,Anson Seabra,29,0
1071,"Powfu, Sarcastic Sounds, Rxseboy",24,0
1072,C JAMM,30,0
1073,"티아라, 초신성",30,0
1074,뽀로로,10,1
1075,해파리소년 (Jelly boy),30,0
1076,소울라이츠,30,0
1077,Takeuchi Mariya,68,1
1078,015B,30,0
1079,조원선,51,1
1080,레인보우,30,0
1081,HUS (허밍어반스테레오),30,1
1082,박선주 (Pak Sun Zoo),52,1
1083,리치,37,0
1084,유승우,30,1
1085,주니퍼,47,0
1086,"MC 스나이퍼, Outsiders",30,0
1087,루그,40,1
1088,페이지,20,1
1089,오현란,49,1
1090,Y2K,45,0
1091,지누션,30,1
1092,S.E.S.,40,1
1093,전람회,40,1
1094,DJ DOC,30,0
1095,손진영,37,0
1096,안재욱,51,0
1097,안치환,57,0
1098,"토이, 김연우",40,1
1099,Mark Ronson,47,0
1100,서지원,40,1
1101,김민종,51,1
1102,Anne-Marie,20,0
1103,유재하,40,1
1104,Straight No Chaser,40,1
1105,Jason Mraz,30,1
1106,Niall Horan,29,1
1107,Luke Combs,33,0
1108,경서,20,0
1109,"San E (산이), 레이나 (Raina)",30,1
1110,베이비복스,41,1
1111,엄정화,40,0
1112,사비나앤드론즈,40,0
1113,Celine Dion,55,1
1114,원 모어 찬스 (one more chance),50,1
1115,"Luis Fonsi, Daddy Yankee",45,0
1116,차은우 (ASTRO),20,1
1117,Rex Orange County,25,0
1118,Natasha Bedingfield,41,1
1119,Calum Scott,34,0
1120,Carla Bruni,55,1
1121,소유 (SOYOU),30,0
1122,"소유 (SOYOU), 브라더수",30,0
1123,"슬기 (SEULGI), 신비 (SINB), 청하, 전소연",30,0
1124,"웬디 (WENDY), 슬기 (SEULGI)",30,0
1125,문성재,71,1
1126,"옆소 (문별, 슬기, 유아, 디애나, 소희, 수정, 소미)",20,1
1127,"황치열, 슬기 (SEULGI)",20,1
1128,슬기 (SEULGI),20,0
1129,"예성 (YESUNG), 슬기 (SEULGI)",20,0
1130,"효린, 창모 (CHANGMO)",20,0
1131,"4minute, 비스트, 지나, 비투비, 노지훈, 김기리, 신지훈, Apink (에이핑크), 허각",30,1
1132,"허각, 정은지",30,1
1133,"정은지, 서인국",30,1
1134,JUNIEL,30,0
1135,오렌지 캬라멜,30,0
1136,스페이스 에이,40,0
1137,변진섭,50,1
1138,유심초,50,1
1139,7공주,50,1
1140,마커스워십 (MARKERS WORSHIP),40,1
1141,박재정,20,0
1142,"이루, Daylight",40,1
1143,홍진영,30,0
1144,장민호,45,0
1145,"김종국, 황치열, UV, 로꼬, GRAY (그레이)",30,0
1146,김복유,45,1
1147,뷰티핸섬,20,1
1148,"유재환, 정형돈",30,0
1149,이준호,33,1
1150,"곽진언, 김필, 임도혁",30,0
1151,김윤진,49,1
1152,디에이드 (The Ade),35,0
1153,브라이언킴,40,1
1154,SZA,33,1
1155,10-FEET,30,0
1156,"백지영, 이홍기 (FT아일랜드)",30,1
1157,Lasse Lindh,49,0
1158,Sean Lennon,47,0
1159,John Lennon,40,1
1160,테이크 (TAKE),40,1
1161,Norah Jones,44,1
1162,윤상,55,0
1163,두번째달,50,0
1164,La La Land Cast,20,1
1165,"Hugh Jackman, The Greatest Showman Ensemble",30,0
1166,김지수,33,1
1167,박문치,20,1
1168,"기희현, 전소미, 최유정 (Weki Meki), 김청하",20,1
1169,"Ryan Gosling, Emma Stone",34,1
1170,에릭남 (Eric Nam),30,1
1171,라디 (Ra. D),43,0
1172,"박지헌, 강민경 (다비치)",30,0
1173,슈가,20,1
1174,가인,35,0
1175,"가인, 조형우",35,0
1176,Nishino Kana,34,0
1177,영준,44,0
1178,"수지 (Suzy), 백현 (BAEKHYUN)",30,1
1179,정철 (최정철),35,1
1180,알리 (ALi),40,1
1181,Vanilla Mood,20,0
1182,Nelly,30,0
1183,July,30,0
1184,Sakamoto Ryuichi,30,1
1185,2BIC(투빅),37,0
1186,이루마,30,0
1187,DJ Okawari,26,1
1188,애즈원,26,1
1189,디아,31,1
1190,심은경,30,1
1191,Auli'i Cravalho,22,1
1192,"세븐틴 (SEVENTEEN), 에일리(Ailee)",30,1
1193,siso(시소),30,1
1194,Mingginyu (밍기뉴),20,1
1195,"10CM, BIG Naughty (서동현)",20,1
1196,이해리 (다비치),30,1
1197,고다 (GODA),35,1
1198,소향,40,1
1199,RADWIMPS (래드윔프스),30,1
1200,21학번,20,1
1201,조유리,21,1
1202,주니토니,10,1
1203,WSG워너비,30,1
1204,조광일,20,0
1205,"Don Mills, Northfacegawd, sokodomo, Khakii (카키), 에이체스 (A-Chess)",20,0
1206,"T1, Raiden, 백현 (BAEKHYUN)",20,1
1207,화이트,50,1
1208,한스 밴드,50,1
1209,"Kristen Bell, Agatha Lee Monn, Katie Lopez",43,1
1210,Josh Gad,42,0
1211,이상순,40,0
1212,유두래곤,40,1
1213,Elektronomia,50,0
1214,"League of Legends, Alan Walker",20,0
1215,권은비,20,0
1216,"티아라, 더 씨야, F-ve Dolls, 스피드",30,0
1217,Savoy,45,0
1218,Zedd,20,0
1219,AJ Mitchell,22,0
1220,Yonezu Kenshi,32,0
1221,"Dan + Shay, Justin Bieber",30,1
1222,"New Hope Club, Danna Paola",30,1
1223,Sam Smith,30,1
1224,"Post Malone, Swae Lee",30,1
1225,"Zedd, Grey, Maren Morris",30,0
1226,토이,40,1
1227,Shane Filan,44,1
1228,The 1975,34,0
1229,Radiohead,40,0
1230,Sunshine State,50,0
1231,Owl City,37,0
1232,U2,63,0
1233,솔리드,50,0
1234,Justin Timberlake,42,0
1235,Chris Brown,34,0
1236,Jay Sean,42,0
1237,Daft Punk,30,0
1238,IGNITO (이그니토),20,0
1239,"로꼬, GRAY (그레이)",20,0
1240,정키,20,1
1241,"로꼬, 유성은",20,0
1242,"Ziv Zaifman, Hugh Jackman, Michelle Williams",20,0
1243,"정성화, 조재윤, 배정남, 이현우",50,0
1244,잠비노 (Jambino),24,0
1245,허성현 (Huh),20,1
1246,노윤하,20,0
1247,SURL (설),20,0
1248,제이어스,40,1
1249,김성철,30,1
1250,이시안(아기싱어),10,1
1251,Mariah Carey,30,1
1252,VERIVERY,20,1
1253,DKZ,20,1
1254,"김청하, 헤일로 (HALO)",20,1
1255,"허정은, 황지아, 김청하, 오운 (OOON)",20,1
1256,"휘성 (Realslow), 태일 (블락비), 청하",20,1
1257,마크 (MARK),20,1
1258,구름,20,1
1259,이영지,20,1
1260,웨터 (wetter),20,1
1261,Emotional Oranges,20,1
1262,1415,-1,-1
1263,Nagata Shigeru,30,1
1264,더보이즈 (THE BOYZ),20,1
1265,"MAX, Felly",30,1
1266,blackbear,30,0
1267,Arizona Zervas,28,0
1268,Mocca,40,1
1269,John K,30,1
1270,퓨처라이거,45,0
1271,"서은광 (비투비), 임현식 (비투비), 육성재 (비투비)",20,1
1272,무한도전,30,0
1273,마야,45,0
1274,방준석,50,0
1275,달빛마을,50,0
1276,봄여름가을겨울,50,0
1277,곽진언,40,0
1278,"윤종신, 정준일",30,0
1279,허윤진,21,0
1280,Nirvana,40,0
1281,9와 숫자들,30,0
1282,로맨틱펀치 (Romantic Punch),40,0
1283,Muse,40,0
1284,"코드 쿤스트 (CODE KUNST), 잔나비 최정훈, 사이먼 도미닉",30,0
1285,소란 (SORAN),30,0
1286,새소년,31,1
1287,이준형,30,1
1288,ADOY,30,1
1289,O.O.O (오오오),30,1
1290,이민혁,30,1
1291,Elton John,76,0
1292,"Lady Gaga, Bradley Cooper",30,0
1293,Ryokuousyoku Syakai,28,1
1294,강성호,40,0
1295,"캡틴플래닛, 이석훈",40,0
1296,모이다밴드,40,1
1297,"Hoody (후디), Bronze (브론즈)",33,1
1298,The Beatles,40,1
1299,하하,30,0
1300,GRAY (그레이),20,0
1301,유희열,50,0
1302,gnash,30,0
1303,커피소년,42,0
1304,Metallica,40,0
1305,Nami (나미),40,1
1306,Peach Pit,30,0
1307,최성,50,1
1308,"So!YoON! (황소윤), Phum Viphurit",26,1
1309,뎁트,32,1
1310,Peach Tree Rascals,40,0
1311,Wallows,30,0
1312,김승민,27,1
1313,Loren Allred,33,1
1314,김농밀,20,0
1315,B.I,30,0
1316,강수지,56,1
1317,"015B, 오왠 (O.WHEN)",30,0
1318,GAYLE,20,1
1319,Puff Daddy,53,0
1320,Kiana Lede,26,1
1321,한예슬,41,1
1322,Karen Souza,39,1
1323,김윤희,50,1
1324,전초아,43,1
1325,George Mann,50,1
1326,황광희 X 개코,30,1
1327,심규선 (Lucia),37,1
1328,Us The Duo,40,1
1329,헤일,20,0
1330,장기하와 얼굴들,40,0
1331,이수현,20,1
1332,Tai Verdes,27,0
1333,Sampa The Great,29,1
1334,"Lauv, Troye Sivan",30,1
1335,이진아,30,0
1336,"양다일, 도겸 (SEVENTEEN)",30,1
1337,펜타곤,20,1
1338,우주소녀,20,0
1339,칸토,29,1
1340,David Guetta,55,1
1341,Pinkrush,20,0
1342,하연수,30,0
1343,델리스파이스,30,0
1344,"Meryl Streep, Julie Walters, Christine Baranski",74,1
1345,정성화,48,0
1346,제시 (Jessi),30,1
1347,"Yultron, 박재범",30,1
1348,Kid Ink,37,0
1349,Jessie J,30,1
1350,Raiden,36,0
1351,"G-Eazy, Kehlani",34,0
1352,"Marshmello, Bastille",30,0
1353,"Tory Lanez, Quavo, Tyga",30,0
1354,"Lil Tecca, Juice WRLD",20,0
1355,ZAYN,30,1
1356,Lil Dicky,20,0
1357,Rita Ora,32,1
1358,PRETTYMUCH (프리티머치),20,1
1359,FKJ,33,0
1360,"MAX, Joey Bada$$",31,0
1361,Ella Mai,28,1
1362,Tinashe,30,1
1363,Khalid,25,0
1364,A$AP Rocky,34,0
1365,RUSUK,28,0
1366,Gist,20,1
1367,못 (Mot),40,1
1368,딘딘 (DINDIN),30,1
1369,한로로,30,0
1370,쏜애플 (THORNAPPLE),30,1
1371,식케이 (Sik-K),30,0
1372,이승훈,31,0
1373,이강승,30,0
1374,허회경,30,0
1375,백아,28,0
1376,meenoi (미노이),20,0
1377,클래지콰이,40,1
1378,Suda Masaki,30,1
1379,린다G,44,1
1380,So!YoON! (황소윤),30,1
1381,Adios Audio,40,1
1382,장석훈,40,1
1383,PUBLIC,50,1
1384,Fun.,20,0
1385,Jeremih,36,0
1386,Mura Masa,27,0
1387,One Direction,30,1
1388,"Aanysa, Snakehips",30,1
1389,송재호,60,1
1390,Tom Misch,28,0
1391,Bastille,37,0
1392,Balming Tiger,30,0
1393,Nujabes,30,0
1394,"Earth, Wind & Fire",30,0
1395,OuiOui (위위),20,1
1396,김완선,50,1
1397,EXO-CBX (첸백시),20,1
1398,플랏나인,20,1
1399,행주,20,0
1400,PRISTIN (프리스틴),20,0
1401,Dominic Fike,27,0
1402,Frank Ocean,35,0
1403,"서액터, 뎁트",50,1
1404,염따,20,0
1405,Zach Oliver,20,1
1406,The Walters,50,0
1407,Rihanna,30,0
1408,ZENE THE ZILLA,20,0
1409,Lorde,26,1
1410,"Kygo, Imagine Dragons",20,0
1411,"Avicii, Sandro Cavazza",20,0
1412,죠지,29,1
1413,Labrinth,34,0
1414,Fifth Harmony,40,1
1415,"Chris Brown, Young Thug",20,0
1416,"사이먼 도미닉, GRAY (그레이), ONE",20,0
1417,"Alan Walker, K-391, Emelie Hollow",20,0
1418,Alec Benjamin,29,0
1419,SuperM,30,1
1420,예성 (YESUNG),30,1
1421,"천우희, 안재홍",30,1
1422,육성재 (비투비),20,1
1423,이창섭,20,1
1424,비투비-블루,20,1
1425,PRODUCE X 101,20,1
1426,SIXC (6 crazy),30,1
1427,"NCT DREAM, HRVY",20,1
1428,"로코베리, 도영 (DOYOUNG)",40,0
1429,지수 (JISOO),20,0
1430,주시크 (Joosiq),20,0
1431,Amanda Seyfried,30,1
1432,Bebe Rexha,33,1
1433,Lily James,34,1
1434,"Aaron Tveit, Eddie Redmayne, Students, Les Miserables Cast",39,1
1435,전건호,20,0
1436,"2F (신용재, 김원주)",20,0
1437,"장혜진, 한동근",30,0
1438,안젤로,50,1
1439,"매드클라운, 브라더수",30,0
1440,"김현철, 이소라",50,0
1441,The Quiett,30,0
1442,"창모 (CHANGMO), ASH ISLAND, 정기고",20,0
1443,NF,32,0
1444,차가을,20,0
1445,Brandi Carlile,42,1
1446,쿠기 (Coogie),30,0
1447,"지코 (ZICO), 소진 (Sojin)",21,0
1448,유해준,50,1
1449,길미,38,1
1450,"스윙스, BILL STAX (빌스택스), 그냥노창, C JAMM",30,0
1451,유주 (YUJU),30,0
1452,미란이 (MIRANI),20,0
1453,"펀치넬로 (punchnello), 짱유 (JJANGYOU), ZENE THE ZILLA, 맥대디 (Mckdaddy)",20,0
1454,"Hash Swan, ASH ISLAND, 김효은, 창모 (CHANGMO)",20,0
1455,하진 (HAJIN),35,0
1456,피아노맨,20,0
1457,양홍원,11,0
1458,스트레이 (The Stray),20,0
1459,반하나,28,0
1460,환희,40,1
1461,"C JAMM, BewhY (비와이)",30,0
1462,#Gun,44,0
1463,한기란,30,0
1464,정진우,37,0
1465,박명수,30,0
1466,황문섭,33,0
1467,유채영,42,1
1468,Takahashi Yoko,56,1
1469,김예니,20,0
1470,박세아,30,0
1471,"Jessie J, Ariana Grande, Nicki Minaj",30,0
1472,Pharrell Williams,50,0
1473,이혁준,60,0
1474,40,20,1
1475,디어 (d.ear),30,1
1476,"기리보이, NO:EL, 블랙넛 (Black Nut), 양홍원, Osshun Gum, YUNHWAY, 저스디스 (JUSTHIS), Jvcki Wai, 키드밀리 (Kid Milli), 한요한, 스윙스",20,1
1477,"Lil tachi, 호치키스 (HOTCHKISS)",20,0
1478,ILLIONAIRE RECORDS,20,0
1479,"기리보이, 키드밀리 (Kid Milli), NO:EL, 스윙스",20,0
1480,개리,30,0
1481,Wanna One (워너원) - 트리플포지션,20,1
1482,League of Legends,20,0
1483,Ja Mezz,20,0
1484,Sasaki Isao,81,1
1485,Junoflo (주노플로),40,0
1486,"블랙넛 (Black Nut), 버벌진트, San E (산이)",30,0
1487,"블랙넛 (Black Nut), 마이크로닷 (Microdot), 베이식 (Basick)",30,0
1488,Dok2,30,0
1489,Flo Rida,43,0
1490,치타 (CHEETAH),30,1
1491,"키썸 (Kisum), San E (산이), 태완 (Taewan)",30,1
1492,지민,30,0
1493,주주 시크릿,10,1
1494,RM,20,1
1495,Billlie (빌리),23,1
1496,소녀시대-Oh!GG,30,1
1497,토요태,40,1
1498,솔지,30,0
1499,Phao,20,1
1500,드림캐쳐,20,1
1501,"댄싱게놈 (유재석, JYP)",40,1
1502,CLC,26,1
1503,"먼데이 키즈 (Monday Kiz), 김보경 (NEON)",30,0
1504,"Marshmello, Jonas Brothers",30,1
1505,염평안,60,1
1506,Matt Redman,60,1
1507,Hillsong London,60,1
1508,"스캇브래너, 레위지파",60,1
1509,AURORA,27,1
1510,"ZAYN, Sia",30,1
1511,Fall Out Boy,30,0
1512,Utada Hikaru,40,1
1513,Haruna Luna,31,1
1514,Jvcki Wai,27,0
1515,크레용팝,30,0
1516,Unknown Brain,30,0
1517,"재넌, 작비",10,0
1518,Bag Raiders,20,0
1519,Boys Like Girls,30,0
1520,피에스타,20,0
1521,헬로비너스,30,0
1522,Tobu,30,0
1523,"LINKIN PARK, Kiiara",30,0
1524,Vanessa Carlton,42,1
1525,새벽공방,30,1
1526,비프리 (B-Free),30,0
1527,배치기,30,0
1528,Sum 41,30,0
1529,"임영웅, 영탁, 이찬원, 김호중, 정동원, 장민호, 김희재",60,1
1530,이찬원,60,1
1531,Claude Debussy,60,1
1532,"임태경, 옥주현",60,0
1533,"로이킴, 정준영",30,0
1534,Rhapsody,50,0
1535,"폴킴, 청하",20,0
1536,"양다일, 정키",20,1
1537,"The Chainsmokers, Coldplay",20,0
1538,"로꼬, 유주 (YUJU)",30,0
1539,Backstreet Boys,48,1
1540,김종민,30,0
1541,"헤이즈 (Heize), 펀치 (Punch)",30,0
1542,"B.I, Destiny Rogers, Tyla Yaweh",26,0
1543,ID (BE IDENTITY),10,0
1544,PRODUCE 101,20,0
1545,MOBB (MINO & BOBBY),42,0
1546,"신지민, 임슬옹",36,1
1547,"허각, 지아",30,1
1548,Carly Rae Jepsen,37,1
1549,자자 (ZAZA),40,0
1550,Glass Animals,20,1
1551,Tiesto,54,0
1552,"John Legend, 웬디 (WENDY)",50,1
1553,Tobias Jesso Jr.,38,0
1554,"서현진, 유승우",26,1
1555,"HAKI (하키), ultimadrap (울티마 디랩)",30,0
1556,"HUS (허밍어반스테레오), Risso (리소)",60,1
1557,Jae,30,1
1558,슈가볼 (Sugarbowl),30,1
1559,뉴욕러브다이어리,30,1
1560,"라디 (Ra. D), 디어 (d.ear), 브라더수, 주영 (Jooyoung)",43,0
1561,9초,40,1
1562,정형돈,30,0
1563,LINKIN PARK,60,1
1564,Lee Michelle (이미쉘),31,1
1565,키 (KEY),30,1
1566,알레프 (ALEPH),30,1
1567,유리(YURI),33,0
1568,국카스텐,30,0
1569,"태연 (TAEYEON), The One (더원)",30,0
1570,아이비아이 (I.B.I),27,1
1571,MXM,20,1
1572,핫샷 (HOTSHOT),20,1
1573,임현식 (비투비),20,1
1574,더 이스트라이트 (TheEastLight.),20,1
1575,아이돌학교,20,1
1576,"에릭남 (Eric Nam), 전소미",20,1
1577,하하 X MINO,20,1
1578,S.M. THE BALLAD,30,1
1579,딕펑스 (DICKPUNKS),35,1
1580,윤민수(바이브),40,0
1581,조현아 (어반자카파),30,0
1582,영턱스클럽,50,1
1583,"배치기, 신보라",30,1
1584,Maria Mena,37,1
1585,"신혜성, 린",40,0
1586,A&T,30,0
1587,Steve Barakatt,50,0
1588,"정우, 유연석, 손호준",39,1
1589,Acoustic Cafe,40,1
1590,녹색지대,54,1
1591,"Lionel Richie, Diana Ross",60,0
1592,"Maksim, Niksa Bratos, Remi Kazinoti, Craig Pruess, Orchestra",60,0
1593,"김용준, 김성규",20,1
1594,송가인,60,1
1595,혜은이,68,1
1596,"윤민수(바이브), 송가인, 치타 (CHEETAH)",40,0
1597,Dire Straits,30,0
1598,Twisted Sister,40,0
1599,Red Hot Chili Peppers,40,0
1600,정상수,20,0
1601,The Ting Tings,44,0
1602,The La's,40,0
1603,The Cranberries,30,0
1604,Odesza,30,0
1605,"Daft Punk, Pharrell Williams, Nile Rodgers",49,0
1606,오케이션 (Okasian),36,1
1607,키디비 (KittiB),20,1
1608,예지,20,0
1609,"황태지 (황광희, 태양, 지드래곤)",30,1
1610,"The Quiett, 사이먼 도미닉, 넉살, 박재범, 로꼬, pH-1, 창모 (CHANGMO), 염따, Way Ched (웨이체드), WOOGIE",20,0
1611,"넬 (NELL), 그루비룸 (GroovyRoom)",30,1
1612,831 (八三夭),30,0
1613,시우민 (XIUMIN),30,1
1614,찬열 (CHANYEOL),30,1
1615,Hebe Tien,40,1
1616,"백현 (BAEKHYUN), 로꼬",30,1
1617,"장재인, 수호 (SUHO)",30,0
1618,이상우,59,0
1619,양준일,59,1
1620,승리,30,1
1621,"Yogi, Skrillex",35,0
1622,Robin Schulz,36,0
1623,"버벌진트, 산체스 (Sanchez)",30,0
1624,Tiger JK,30,0
1625,Jason Derulo,33,0
1626,샤넌,25,1
1627,장재인,30,0
1628,"개코, 얀키 (YANKIE)",30,0
1629,Badkiz,28,0
1630,Christina Perri,36,1
1631,MASTA WU,44,0
1632,Travis Scott,32,0
1633,"Pink Sweat$, Crush",20,0
1634,"보아 (BoA), 빈지노 (Beenzino)",30,1
1635,Erik Satie,60,1
1636,핫펠트 (HA:TFELT),34,1
1637,CL,30,0
1638,Rixton,30,0
1639,"마마무 (Mamamoo), 범키",30,1
1640,Amy Winehouse,27,0
1641,Corinne Bailey Rae,44,1
1642,James Morrison,38,0
1643,"토이, 이지형",40,0
1644,"Rohann (이로한), 김농밀",20,0
1645,"아넌딜라이트(Anandelight), unofficialboyy, BE'O (비오), 지구인, Mudd the student",20,0
1646,"소유 (SOYOU), IZ*ONE (아이즈원)",30,0
1647,"김나영, 양다일",30,0
1648,문빈&산하(ASTRO),30,1
1649,하성운,29,1
1650,"지수연 (Weki Meki), 문빈 (ASTRO)",20,1
1651,"윤종신, 하림, 조정치, 에디킴",30,1
1652,신지훈,25,1
1653,주호,34,0
1654,유주,25,0
1655,"마이티 마우스, 백지영",30,0
1656,비룡,40,1
1657,머쉬베놈 (MUSHVENOM),29,0
1658,제아,30,1
1659,정인,30,1
1660,ATEEZ (에이티즈),20,1
1661,원필 (DAY6),29,1
1662,이승윤,33,1
1663,한수지,20,1
1664,TheFatRat,44,0
1665,옥상달빛,20,1
1666,마로니에,30,1
1667,"박우진 (AB6IX), A Boogie Wit Da Hoodie",20,1
1668,하은 (포맨),30,1
1669,"박우진 (AB6IX), 이대휘 (AB6IX)",20,1
1670,"Charlie Puth, 정국, 방탄소년단",20,1
1671,"먼데이 키즈 (Monday Kiz), 지아",30,0
1672,"Bebe Rexha, Florida Georgia Line",33,1
1673,Ashes Remain,30,0
1674,"사야 (SAya), 재연(SWAY)",30,1
1675,Joakim Lundell,37,0
1676,Kisma,40,0
1677,"MC몽, 허각",30,0
1678,NS 윤지,34,1
1679,"펀치 (Punch), GLABINGO (글라빙고)",30,1
1680,유나킴,28,1
1681,Gheorghe Zamfir,50,0
1682,Sing Street,30,0
1683,ABBA,50,1
1684,BJ엣지,30,0
1685,오왼 (Owen),30,0
1686,정준영,30,1
1687,려욱 (RYEOWOOK),30,1
1688,"기리보이, 블랙넛 (Black Nut), 그냥노창, 한요한, 스윙스",20,0
1689,"소유 (SOYOU), 성시경",30,0
1690,"넉살, 한해, RYNO (라이노), 조우찬",30,0
1691,타샤니,40,1
1692,쥬얼리,30,1
1693,X-Japan,40,0
1694,"Mandy Moore, Zachary Levi",39,1
1695,박완규,40,0
1696,크라잉넛 (CRYING NUT),30,0
1697,"아이유, 김연아",30,1
1698,The Volunteers (더 발룬티어스),20,1
1699,21 Savage,30,0
1700,김원중,40,1
1701,유재석,40,0
1702,이현,39,0
1703,"Anne-Marie, 민니 ((여자)아이들), (여자)아이들",32,1
1704,전소연,20,1
1705,"Fast & Furious: The Fast Saga, 지민",20,1
1706,X Ambassadors,40,0
1707,"원우, 민규 (세븐틴)",27,1
1708,"SG 워너비, V.O.S",30,0
1709,Galantis,20,0
1710,Major Lazer,30,0
1711,"방탄소년단, Juice WRLD",20,1
1712,Lemaitre,40,0
1713,조항조,63,0
1714,버블 시스터즈,40,1
1715,진성,60,0
1716,몰리,40,1
1717,"임세준, 벤",20,1
1718,구피,40,1
1719,김세영,50,0
1720,강승윤,20,1
1721,일기예보,40,0
1722,파파야,40,1
1723,"윤건, 임현식 (비투비)",20,0
1724,Pink,43,1
1725,비투비 포유,20,1
1726,"서은광 (비투비), 이창섭, 임현식 (비투비), 육성재 (비투비)",20,1
